ZONA;AÑO;SEXO;P01;P02;P03;P04;P05;P06;P07;P08;P09;P10;P11;P12;P13;P14;P15;P16;P17;P18
1;2025;F;9290;10279;10593;10512;11046;12194;14166;16064;17426;16682;15816;15311;15429;17043;17889;16330;13699;18975
2;2000;M;38007;39339;37992;35339;34361;33010;33257;38152;38645;35740;30423;28818;27188;26288;24762;19987;14307;14287
2;2000;F;36806;37512;36309;33416;32927;31116;31892;36421;36937;35168;31116;30237;29382;28431;26211;21493;16236;19865
2;2001;M;38601;39554;38050;35397;34890;33064;34035;38717;39230;36396;30371;28933;27867;26633;24956;20094;14418;14536
2;2001;F;36768;38245;36458;34300;32872;31572;32438;36796;38076;35538;31914;31124;29952;29357;27191;22278;17471;20879
2;2002;M;39166;40044;38815;35990;35372;33819;34416;39540;40039;36822;31232;29415;28405;26983;25764;20452;15037;14719
2;2002;F;36923;37372;36779;34397;33299;32121;32972;37555;38888;36444;32572;31230;30228;29823;28163;23270;18174;21693
2;2003;M;40417;41233;40090;37007;36575;34772;35762;40794;40977;37986;32283;30398;29266;28002;26693;21225;15426;15304
2;2003;F;37608;38059;37237;34855;34243;32757;33587;38098;39542;37304;33497;32068;31230;30792;29281;24107;18926;22968
2;2004;M;41034;42104;40733;37896;36892;35337;36269;41652;42234;38676;32688;31259;30074;28940;27437;21739;16229;15738
2;2004;F;37396;38320;37121;34794;33608;32822;33851;38432;40068;37803;33422;32664;31831;30837;29756;24983;19013;23743
2;2005;M;42017;43162;41796;38599;37941;36295;37187;42542;43123;40165;33721;32163;30858;29780;28263;22559;16617;16137
2;2005;F;37490;39202;37415;35406;34711;33376;34843;39492;40671;38491;34341;33399;32546;32420;30668;25672;20215;24626
2;2006;M;42675;43678;42702;39703;38742;36847;38181;43410;44021;40804;34614;32988;31389;30592;28811;23442;16942;16899
2;2006;F;38182;39629;37770;35295;34990;33940;35519;40047;42172;39614;35285;34485;33678;33165;31768;26989;21054;26020
2;2007;M;44125;45152;43454;40010;39503;37865;39121;44420;45205;41957;35556;33927;32191;31262;29502;24193;17559;17292
2;2007;F;37890;38629;37556;35702;34488;34041;35848;40485;42061;40002;35588;34976;33802;33815;32642;27370;21402;26945
2;2008;M;44115;45445;43576;40705;40526;38556;39721;44853;46322;42766;35797;34153;32798;32227;30366;24518;17637;17671
2;2008;F;37216;38435;37650;35350;34621;33928;35950;40560;42213;39541;35955;34843;33925;34161;32872;27978;21799;27663
2;2009;M;45074;46125;44688;41614;40667;39018;40623;46530;47337;44113;36821;35055;33657;32833;30821;25531;18371;18164
2;2009;F;36432;37785;36627;34449;34093;33285;35090;39979;42076;39458;35515;34621;34032;33930;33383;28115;22105;27916
2;2010;M;45759;46830;45536;42300;41663;40251;41322;47160;47762;44342;37475;35719;33674;33372;31560;25957;18904;18707
2;2010;F;35943;36594;36079;33773;33266;33256;34905;39949;41419;39565;35328;34766;33653;33978;33481;28335;22306;28025
2;2011;M;45978;47832;46223;43270;42158;40817;42422;47959;49183;45357;38181;36335;34962;34051;32853;26470;19393;19409
2;2011;F;35217;36863;35467;33462;33297;32879;34774;39598;41527;39347;35524;34379;33968;34259;33781;28491;22565;29319
2;2012;M;46962;48221;46855;43686;42879;41104;42694;48804;49830;46318;38678;37265;35623;34812;33414;27194;19837;19840
2;2012;F;34422;35212;34728;32771;32964;32324;34823;39788;41134;38957;35486;34365;34070;34256;33559;28649;23071;29632
2;2013;M;47401;49149;47635;44052;43618;42094;43528;49721;50895;46998;39892;38300;36699;35485;34199;27753;20266;20302
2;2013;F;34543;35510;34587;32830;33051;32606;35241;39989;41616;39519;35732;34788;34429;34814;34179;29603;23884;30552
2;2014;M;48923;50367;48517;45185;45151;43315;45145;50723;52466;48715;40816;38777;37437;36767;35118;28762;21027;20708
2;2014;F;34162;35233;34569;33009;32492;32677;35190;39892;41737;39911;36288;35177;34850;35346;35179;30212;24296;31372
2;2015;M;49765;51149;49269;46228;45877;44265;45806;51752;53286;49406;42080;40478;38611;37703;36173;29383;21621;21540
2;2015;F;34122;35048;34133;32534;32903;32900;34970;40102;41974;39920;36566;35670;34703;35827;35851;30802;24649;32316
2;2016;M;49973;51422;49867;46548;46368;44395;46591;52776;54195;50354;42584;40585;38746;38252;36571;29868;22014;22183
2;2016;F;33263;34324;33887;32331;31997;32767;35415;40183;41716;40196;36675;35597;35144;36100;36082;31220;25093;32722
2;2017;M;50954;52665;51141;47363;47150;45686;47670;54201;55046;51119;43471;41498;39827;39128;37694;31129;22798;22279
2;2017;F;32775;34044;33800;32508;32062;32156;35567;40204;42411;39954;36993;35967;35335;35989;36580;31668;25453;33810
2;2018;M;52430;53384;52120;49088;48257;47040;49029;55924;56601;52878;44638;42993;41257;40284;38835;31787;23327;23478
2;2018;F;32080;33573;33220;31543;32047;32377;35207;40097;41947;40709;37015;35659;35408;36710;37071;31783;26283;34058
2;2019;M;52414;53943;52833;49059;48643;47305;49482;56352;57483;53302;45287;43083;41888;41080;39843;32688;23888;23794
2;2019;F;31717;32878;32541;30814;31129;32014;35076;39877;42193;39927;36374;35742;35347;36246;36996;32079;25977;34770
2;2020;M;51950;53451;51870;48458;48521;46619;49038;55421;56890;52782;44842;42976;41593;40935;39433;32245;23648;24319
2;2020;F;31224;32698;31813;30877;31045;32148;35145;39554;41896;40136;36862;36095;35697;36934;37424;32661;26688;35415
2;2021;M;51622;53298;52134;48530;48001;46457;49047;55803;56824;52693;45144;42897;41581;40687;39500;32437;23940;23831
2;2021;F;30741;31900;31761;30326;30928;31704;35142;40196;42151;40193;36846;36803;36285;37721;38007;33646;27126;36667
2;2022;M;50974;53038;51414;47987;47675;46387;48414;55612;56466;52803;44651;42814;40930;40670;39433;32413;23804;24085
2;2022;F;30052;31544;31407;30095;30773;31474;34679;39587;42296;40588;36983;36102;35781;37243;38541;33638;27631;36646
2;2023;M;50571;52672;50941;47829;47678;46362;48507;55283;56694;52701;44537;42966;41368;40757;39903;32708;23675;24081
2;2023;F;29147;30673;30506;29604;29810;31410;34305;39291;41785;40095;36371;35724;35400;37525;38602;33996;27790;37121
2;2024;M;50650;51912;50779;48030;47668;46377;48509;55078;56366;52256;44732;42567;41357;40787;39573;32868;24007;24110
2;2024;F;28607;30131;29992;29142;29463;30565;34252;39243;41348;39573;36254;35641;35735;37792;38922;34111;28083;37449
2;2025;M;51178;52590;50973;48084;47645;46688;49132;55320;57056;53218;45218;43191;41700;41680;40366;33008;24007;24524
2;2025;F;28414;30086;29817;28832;29479;30770;34422;39054;41952;40283;36916;35967;36175;37648;39190;34940;28311;38393
3;2000;M;52873;54280;51881;48097;46908;44380;45540;52129;52291;48623;40624;38731;37102;35740;33476;26750;19360;18849
3;2000;F;57067;58245;55463;50780;48694;45139;44365;50510;50487;47155;41150;39592;37490;35199;30267;23329;16771;17833
3;2001;M;52878;54186;52839;48814;47604;45242;46361;52703;53460;49747;41612;39547;38023;36778;34504;27504;19481;19644
3;2001;F;57706;57791;55296;50844;48835;44853;44289;50878;51550;47821;41758;40294;38922;35552;31368;24213;17855;18974
3;2002;M;53916;55392;53261;49877;48461;46196;47328;53595;54740;50601;42437;40422;38274;37478;35299;28160;20185;20080
3;2002;F;57509;59246;56093;51238;49403;45958;45488;51762;52003;48611;42796;41618;39273;36929;32649;25319;18766;20225
3;2003;M;54168;55696;53226;49600;49288;46522;47759;54522;55598;51339;43207;40640;39243;38178;35573;28874;20908;20790
3;2003;F;57978;58810;56197;51435;49839;46023;45982;52543;53181;49291;43157;41733;40170;37837;33419;26418;19322;21275
3;2004;M;54580;56150;54259;50216;49406;47183;48667;55023;55626;51741;43672;41720;39975;38732;36337;29428;21303;21106
3;2004;F;58010;58969;56010;51688;49520;46540;46499;52955;53762;49664;44312;42184;40530;38344;34330;27224;20093;22444
3;2005;M;55007;57342;55643;51823;50566;48421;49897;56906;57937;53562;45182;43187;40910;40373;37913;30333;21774;21813
3;2005;F;58354;59022;56443;51971;50449;47045;47236;54082;54741;51024;45391;43448;41644;39908;35490;28279;21131;23727
3;2006;M;56256;57895;56192;52260;51385;49054;50704;57484;58784;54242;46038;43951;41783;40752;38578;31556;22706;22557
3;2006;F;58478;59027;56873;52101;50800;48009;47601;54635;55373;51826;45797;44177;42600;40477;36688;29174;21477;25152
3;2007;M;55240;56776;54998;51378;50761;48470;50010;57113;58181;54388;45861;43310;42193;40603;38461;31406;22571;22449
3;2007;F;58175;59097;56573;52688;51194;48378;48442;55022;56231;52538;46089;44535;43288;40909;37504;30002;22671;26009
3;2008;M;55546;57411;55224;51173;50562;48952;50656;57003;58512;54319;46276;43662;41667;40746;38837;31446;22978;23075
3;2008;F;58615;60093;57282;53142;51407;48996;48656;56036;57505;53252;47538;46078;44572;42290;38794;31443;23879;27879
3;2009;M;55334;56545;55446;50769;50344;49025;50396;57115;58717;54268;46150;43487;42081;41116;39078;32172;23084;23174
3;2009;F;58269;59776;57340;53318;52071;48521;49260;56567;57742;54067;48316;46634;45152;43254;40008;32467;24605;28744
3;2010;M;53946;55960;54355;50972;49904;48222;49859;56734;58418;54010;46067;43568;41926;40806;39074;31950;23287;23210
3;2010;F;58111;59841;57553;53455;51986;49544;50533;57272;58593;55338;48764;47718;45693;44214;41030;33595;25609;30363
3;2011;M;53599;55419;54124;50915;49627;47800;50264;56943;58236;53964;45832;43456;41521;41274;39374;32148;23315;23408
3;2011;F;58003;59148;56903;52665;51192;49405;49812;56982;59083;55032;48841;47387;45300;44606;41691;34309;26276;31447
3;2012;M;53916;55733;54107;50247;49684;48465;49976;56561;58072;54153;45964;43778;42725;41151;39839;32654;23372;23679
3;2012;F;56730;58361;56312;52169;51233;48804;50160;57388;58985;54856;49299;47919;46221;45069;42175;34687;26659;32254
3;2013;M;54028;55353;54102;50555;50211;48189;50659;57511;58736;54459;46792;44024;42658;41657;40704;33359;24212;24512
3;2013;F;56068;57063;54904;51451;50268;48714;49455;56512;58329;54593;49343;47704;46327;44764;42547;34960;27378;33003
3;2014;M;53319;55720;54127;50699;50248;49221;50928;57483;59180;54985;46801;44951;43039;42662;41464;33506;24636;24647
3;2014;F;54833;55999;54617;50720;49811;48108;49291;56639;57577;54735;48590;47614;45897;45582;43160;35274;27292;33736
3;2015;M;53324;55327;53449;50113;49772;48565;50383;57434;58927;54682;46511;44580;43003;42693;40980;33476;24410;25058
3;2015;F;53434;55202;53149;49930;48914;46841;49075;55370;57465;53946;48186;47126;45549;45108;43025;35968;27891;34720
3;2016;M;52664;54579;53049;49902;49283;48250;50430;57286;58577;54675;46410;44440;42833;42301;41242;33625;24978;25000
3;2016;F;52703;54059;52529;48797;48005;46846;48925;55237;56914;53827;48440;47110;45735;45368;43540;36420;28125;35507
3;2017;M;52700;54111;52686;49653;49505;48435;50662;57697;59421;54762;47011;44804;43218;42999;41659;34413;25142;25522
3;2017;F;51990;53193;51841;48243;47748;46180;48339;55452;57002;53890;48513;47246;46135;45744;44276;37122;28974;35861
3;2018;M;51961;53607;52296;49333;49071;47475;50311;56561;58238;54600;46423;44640;42901;42455;41431;33981;25007;25444
3;2018;F;50351;52133;50815;47351;46807;45898;48359;54482;56819;53471;48139;47181;46178;46155;44362;37320;29363;37105
3;2019;M;51839;53741;51645;48920;48923;47608;50488;56875;58563;54647;46763;44155;42582;42378;41746;34271;25780;25683
3;2019;F;49938;51087;49859;46987;46615;45461;47772;54384;56505;53629;48361;46916;45861;45863;44948;37470;29836;37746
3;2020;M;51082;52314;51311;48075;47878;47289;49773;56061;57768;54128;46033;44222;42805;42361;42040;34907;25103;25954
3;2020;F;49157;50328;49329;45887;46062;45104;47707;54044;56593;53159;47984;46918;46007;45912;45250;38094;30159;38577
3;2021;M;50417;52007;51085;47198;47323;47417;49481;56096;57252;53901;46263;44092;42377;42471;41507;34436;25480;25471
3;2021;F;48190;50250;48394;45823;45868;45091;48047;54687;56799;53538;48664;47239;46013;46650;45993;39145;31108;39631
3;2022;M;49899;52015;50216;47566;47669;46739;49298;56294;57858;54480;46363;44525;42798;42625;42482;35020;25650;26200
3;2022;F;47840;49107;48408;45810;45860;45014;47850;54544;56840;54110;49122;47723;46591;47287;46984;39811;32001;41096
3;2023;M;50083;51610;50686;47653;47333;46787;49719;56430;57686;54095;46566;44515;42901;42740;42999;35372;26015;26564
3;2023;F;46816;48373;47213;44974;44864;44581;47733;53879;56570;53666;48576;47493;46334;47283;46831;40264;32159;41249
3;2024;M;49283;51252;49934;47288;47154;46651;49396;56018;58109;53665;46214;44269;42865;43264;43043;35210;25966;26758
3;2024;F;45981;48083;46544;44367;44695;44194;47870;54158;56674;53859;48772;48141;47302;48350;47733;40912;32971;42475
3;2025;M;49393;51306;49311;47575;47405;46983;49988;56836;58286;54025;46522;44459;43052;43504;43005;36049;26658;26922
3;2025;F;44880;46713;45911;43448;43933;44002;47196;53420;56195;53310;48651;47472;46526;47759;48067;41362;33294;43400
4;2000;M;42045;41840;39902;35744;34657;31334;30134;34474;33971;31418;25136;23781;22280;19838;16400;12091;8000;6808
4;2000;F;40812;41020;38937;35502;33699;30446;29081;33374;33331;31195;26571;25224;23770;21501;17616;12745;8491;7683
4;2001;M;42447;42520;40399;36394;34834;31645;30651;35217;34569;31800;25957;24400;22684;20309;17176;12231;8197;7226
4;2001;F;41423;41815;39466;35898;34148;31203;30310;34235;34031;31647;27207;26237;24431;22289;18341;13449;9232;8603
4;2002;M;42288;42991;40799;36800;35186;32238;30938;35233;35068;32424;26166;24975;23258;20932;17465;12924;8648;7798
4;2002;F;41707;42307;39697;36423;34979;31405;30433;34608;34683;32166;27769;27044;25381;23124;19222;14181;10015;9502
4;2003;M;42861;43378;41489;37782;36082;33040;31849;36697;36062;33348;26953;25379;24099;21644;18191;13418;9259;8133
4;2003;F;41371;41719;39841;36325;35165;31956;30810;35062;35028;33003;28674;26754;25681;23688;19631;14811;10537;10161
4;2004;M;43885;44536;42324;38451;36473;33437;32863;37152;37395;34202;27678;26118;24703;22343;18952;14148;9675;8689
4;2004;F;42031;42776;40541;36873;35047;32531;31453;35962;35818;33476;28868;27856;26459;24277;20611;15657;11023;11458
4;2005;M;44580;44923;43058;39129;37542;34291;33342;38329;38337;35034;28461;26819;25265;22927;19597;14978;10050;9314
4;2005;F;42148;42629;41132;37309;35929;32503;32165;36886;36567;34234;29852;28383;27063;25164;21402;16403;11716;12104
4;2006;M;44802;45581;43049;39395;38076;34656;33964;39004;38929;35770;29002;27251;26007;23724;20115;15254;10676;9588
4;2006;F;42560;43161;41396;37979;35745;33560;32657;37769;37436;35040;30761;29533;27915;25718;22582;17384;12301;13210
4;2007;M;44986;46026;43824;39676;38089;35064;34822;39653;39698;36437;29475;28153;26308;24391;20756;16196;10921;10184
4;2007;F;43019;43661;41744;38362;36607;33837;33372;37975;38023;36056;31458;30521;28663;26708;23481;18199;13313;14188
4;2008;M;45054;46564;43532;40010;38769;35585;35121;39992;40482;37456;30044;28603;27323;25005;21862;16615;11666;10422
4;2008;F;42203;42805;40992;37817;35950;33676;33236;37738;38459;35984;31588;30413;28934;27040;23904;18808;13879;14683
4;2009;M;45637;46637;43616;40557;38612;35698;35571;40783;40423;37201;30733;29079;27086;25453;22451;17213;11888;11127
4;2009;F;41244;42440;40428;37243;35831;33601;33139;38280;38529;36113;31433;30172;28993;27572;24319;19259;14215;15841
4;2010;M;46186;46613;44832;40967;39255;36743;36025;41713;41628;38678;31603;29646;28262;26039;22924;18019;12422;11763
4;2010;F;41113;41908;40271;37235;35955;33563;33349;38011;38855;35894;31768;30540;29169;27945;24897;19893;14880;16714
4;2011;M;46140;46921;44903;40884;39597;37328;36500;41861;42167;38880;32046;30321;28759;26908;23784;18274;13117;12251
4;2011;F;40927;41871;39635;37053;35508;33389;33187;38004;38261;36125;31786;31273;30163;28199;25686;20383;15461;17560
4;2012;M;46858;47743;45899;42017;40790;38073;37604;42846;43661;40109;32954;31284;29553;27902;24820;19479;13799;12919
4;2012;F;39753;40719;39021;35944;35173;32573;32998;37550;38875;36031;31803;30426;29821;28445;25927;20803;15524;18280
4;2013;M;47147;47764;45806;42260;40745;38448;37978;43681;44046;40373;33490;31625;30445;28427;25506;20122;14093;13309
4;2013;F;38739;39577;38263;35589;34003;32654;32604;37377;38103;35840;31772;30677;29317;28509;25969;20896;16101;18389
4;2014;M;46969;48364;46129;42326;41259;38306;38568;43756;44401;41163;33934;32260;30811;29025;26103;20466;14594;13878
4;2014;F;37965;39011;37183;34484;33464;31816;32469;36694;37910;35762;31373;30422;29469;28928;26433;21362;16298;19434
4;2015;M;46915;46987;45487;41521;40563;38183;38150;43599;43964;40733;33652;32117;30772;28750;26494;20474;14757;14284
4;2015;F;36999;37895;36515;33850;32848;31507;32511;36972;37488;35388;31338;30402;29641;28831;26736;21800;16753;19998
4;2016;M;45681;46443;45144;41354;40159;37676;38180;43797;44119;41001;33704;32686;30528;29225;26704;21066;14940;14410
4;2016;F;36213;37312;35851;33221;32714;31122;32345;36448;37356;35179;31491;30454;29415;28722;27185;22241;17094;20743
4;2017;M;45623;46728;44826;41209;40330;38114;38592;44252;44268;41136;34153;32340;30895;29461;27285;21622;15418;14994
4;2017;F;35943;36775;35471;32687;32324;31136;31688;36521;37502;34887;31318;30619;29614;29181;27276;22695;17601;21045
4;2018;M;44458;45671;44190;40648;39745;37865;38244;43366;44186;40986;33982;32471;30673;29661;27174;21759;15704;15223
4;2018;F;34733;35500;34419;32055;31589;30529;31739;35866;37213;34813;30872;30322;29448;28753;27442;22666;17925;21705
4;2019;M;43736;44832;43278;40235;39250;37056;38104;43488;43858;40491;33669;32327;30879;29622;27843;22327;15848;15703
4;2019;F;34409;35216;34257;31645;31396;30291;31507;35951;36816;34994;31349;30670;29852;29726;28205;23313;18384;22488
4;2020;M;42967;44112;42488;39641;38529;37211;37852;43168;43638;40438;33768;32229;30971;30212;27758;21972;15951;15935
4;2020;F;33897;34673;33772;31374;31233;30579;31273;36187;37085;35063;31630;31080;29918;29877;28730;24129;18829;23530
4;2021;M;43063;44258;42587;39180;38544;36941;37715;42837;43775;40719;34280;32745;31307;30034;28174;22602;16530;16190
4;2021;F;33348;34454;33187;30885;30933;29892;31566;35827;36966;35102;31960;30793;29770;29992;29181;24137;19340;24391
4;2022;M;42820;44089;42581;39192;38873;37042;38081;43082;44370;40838;34345;32785;31564;30812;29012;23239;16714;16602
4;2022;F;32854;33794;32942;30844;30883;30105;31577;36042;37267;35665;32291;31205;30442;30442;29880;25221;19962;25041
4;2023;M;42286;43180;42014;38909;38360;36656;38054;42923;44143;40477;34575;32475;31252;30345;29044;23539;17057;16851
4;2023;F;32686;33781;32744;30948;30683;30009;31795;36359;37724;35782;32065;31647;30652;31185;30673;25673;20390;26023
4;2024;M;41793;43004;41375;38539;38271;36794;37708;42869;43894;40546;34565;32982;31742;31146;29433;23666;17423;17448
4;2024;F;32025;33338;32133;30303;30175;30126;31867;36117;37898;36094;32444;31618;31074;31430;30907;25949;21130;27038
4;2025;M;40984;41713;40892;38047;37714;35690;37455;42256;43296;40616;34566;32728;31431;30661;29582;23825;17516;17638
4;2025;F;31298;32183;31530;30072;30005;29807;31926;35863;37417;35431;32552;31526;30966;31195;31200;26613;21327;27190
5;2000;M;36561;36617;35698;33035;32289;30141;30675;35132;35594;32946;27170;26074;24806;23663;21888;17472;12439;12179
5;2000;F;35282;35676;34613;31718;30618;29109;29274;33610;34114;31735;28079;27503;26032;25114;22797;18472;13871;16352
5;2001;M;36215;37069;35635;33136;32374;30404;30983;35366;36007;33586;27865;26657;25084;24112;22424;17622;12838;12652
5;2001;F;35717;36196;34574;32333;31284;29545;30046;34289;34893;32870;29234;28096;26982;26062;24038;19540;15014;17425
5;2002;M;36329;37188;35574;32751;32659;30582;31557;35832;36691;33492;28606;26773;26064;24705;23146;18734;13366;13236
5;2002;F;36292;36479;35658;33123;31804;30227;30867;35180;35967;33432;30029;28726;28209;27050;25242;20720;15724;18696
5;2003;M;36729;37780;36417;33637;33206;31325;32091;36499;37427;34800;28999;27530;26574;25758;24138;19729;13836;13786
5;2003;F;35977;36391;35474;32703;32170;30166;30811;35115;36444;34546;30511;29436;28495;27678;25848;21259;16253;19590
5;2004;M;36915;37811;36653;34208;33449;31601;33075;37355;38030;35423;29578;28134;27439;26291;24996;19764;14545;14410
5;2004;F;36045;37069;36010;33005;32683;30994;31695;36083;37094;35317;31073;30030;29159;28578;27125;22408;16938;20785
5;2005;M;36966;37779;36592;34070;33620;32286;33134;37902;38576;35339;30303;28642;27178;26826;25471;20745;14834;14924
5;2005;F;36228;37094;35591;33243;32804;31645;32624;37254;38022;35554;31995;31079;29891;29587;28048;23183;18194;21981
5;2006;M;36897;37911;36848;34625;33901;32700;34129;38340;39047;36114;31020;29449;28461;27655;26544;21229;15540;15507
5;2006;F;35872;36806;35880;33462;32935;31713;33178;37628;39157;36651;32650;32345;30900;30423;29044;24309;18802;23394
5;2007;M;37451;38207;37474;34589;34687;33434;34613;39353;40408;37451;31596;30321;28976;28243;27708;22444;16396;16471
5;2007;F;36549;37516;36667;34151;33762;32556;33683;38680;39991;37301;33671;32947;32051;31649;30538;25054;19931;24769
5;2008;M;37518;38611;37228;35102;34686;33780;35383;40025;40896;38223;32579;31098;29518;29202;28152;23112;17081;17100
5;2008;F;36673;37773;36876;34104;34256;33407;34541;39009;40343;38532;34531;33526;32897;32315;31765;26691;20860;25931
5;2009;M;37932;39076;38394;35643;35395;34753;36003;41060;42153;39372;33251;32066;30765;30321;29507;24156;17659;17787
