ZONA;AÑO;SEXO;ICDO;I01;I02;I03;I04;I05;I06;I07;I08;I09;I10;I11;I12;I13;I14;I15;I16;I17;I18;SE
1;2000;F;50;0;2;1;6;5;7;9;15;22;20;21;21;21;32;25;19;15;22;0
1;2000;F;53;0;0;1;0;0;0;4;2;5;1;1;3;0;1;7;2;3;1;0
1;2000;F;54;0;0;0;0;0;1;4;0;3;3;1;4;5;9;5;6;5;10;0
1;2000;F;56;0;0;0;0;0;1;4;4;4;4;2;2;3;8;8;4;3;1;0
1;2000;F;64;0;0;0;0;0;0;0;0;1;1;1;1;1;2;1;2;2;0;0
1;2000;F;67;0;0;0;0;0;0;1;0;0;1;1;1;1;0;2;1;3;5;0
1;2000;F;71;0;0;0;0;0;0;0;1;0;0;2;2;1;0;2;1;2;1;0
1;2000;F;73;0;0;0;0;0;1;2;0;0;1;0;0;1;1;1;0;0;0;0
1;2000;F;81;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
1;2000;F;82;0;0;0;0;1;0;1;0;1;1;0;0;1;3;1;2;2;3;0
1;2000;F;90;0;0;0;0;0;0;0;0;0;2;1;1;3;3;4;5;2;2;0
1;2000;F;91;0;0;0;0;0;0;0;0;0;2;0;1;3;2;2;2;2;0;0
1;2000;F;99;0;0;0;0;1;0;0;3;2;3;5;5;6;8;16;12;11;21;0
1;2001;M;14;0;0;0;1;0;2;2;3;7;11;16;19;20;22;19;20;17;12;0
1;2001;M;15;0;0;0;0;0;0;0;0;3;4;3;1;3;3;8;4;4;2;0
1;2001;M;16;0;0;0;0;1;0;0;2;4;4;2;12;10;18;21;25;24;15;0
1;2001;M;18;0;0;0;0;0;0;1;1;3;7;3;7;12;7;18;17;18;26;0
1;2001;M;19;0;0;0;0;0;0;3;2;5;8;7;7;6;13;8;8;7;4;0
1;2001;M;22;0;0;0;1;0;1;0;3;2;2;3;7;12;9;6;8;6;3;0
1;2001;M;23;0;0;0;0;0;0;0;0;0;0;0;2;2;2;1;3;3;2;0
1;2001;M;25;0;0;0;0;0;0;0;0;0;0;0;4;2;2;4;3;0;0;0
1;2001;M;32;0;0;0;0;1;2;5;2;5;16;16;14;23;31;20;20;25;13;0
1;2001;M;34;0;0;0;0;0;1;2;2;5;11;20;34;36;49;56;44;53;73;0
1;2001;M;43;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;2;2;0;0
1;2001;M;61;0;0;0;0;0;0;0;4;10;15;11;24;32;61;70;58;82;69;0
1;2001;M;62;0;1;0;0;0;0;0;0;0;0;0;0;0;2;0;1;0;1;0
1;2001;M;64;0;0;0;0;1;1;0;0;1;1;2;2;3;1;4;0;3;0;0
1;2001;M;67;0;0;0;0;0;2;1;4;7;7;14;11;28;41;42;37;43;32;0
1;2001;M;71;0;0;0;0;0;0;0;1;1;2;1;1;4;6;3;4;2;3;0
1;2001;M;73;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
1;2001;M;81;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;1;1;0;0
1;2001;M;82;0;0;0;0;0;1;0;1;3;2;0;1;1;1;3;1;0;1;0
1;2001;M;90;0;0;0;0;0;0;0;0;0;0;2;2;3;7;2;0;2;3;0
1;2001;M;91;0;0;0;0;0;0;0;1;4;3;3;8;6;11;9;10;6;16;0
1;2001;M;99;0;0;0;0;0;0;0;1;4;5;7;8;3;10;8;17;3;9;0
1;2001;F;14;0;0;0;0;0;0;0;0;0;0;0;1;0;2;2;0;0;1;0
1;2001;F;15;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0
1;2001;F;16;0;0;0;0;0;0;1;2;2;4;5;3;9;7;7;2;12;12;0
1;2001;F;18;0;0;0;0;0;1;0;0;1;2;3;4;6;4;13;16;21;32;0
1;2001;F;19;0;0;0;1;0;1;0;3;1;2;5;1;7;3;4;9;3;9;0
1;2001;F;22;0;0;0;0;0;0;0;0;0;0;0;0;1;2;6;10;9;10;0
1;2001;F;23;0;0;0;0;0;0;0;0;0;0;0;0;2;4;4;7;7;18;0
1;2001;F;25;0;0;0;0;0;0;0;0;0;1;1;1;1;1;3;3;4;5;0
1;2001;F;32;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0
1;2001;F;34;0;0;0;0;0;0;0;0;0;0;2;0;2;1;0;2;2;3;0
1;2001;F;43;1;2;1;1;0;1;1;1;0;2;2;2;5;2;3;2;3;2;0
1;2001;F;50;0;1;1;7;7;4;8;16;17;20;20;19;19;32;23;21;22;34;0
1;2001;F;53;0;1;0;0;0;1;1;3;5;2;3;2;1;1;5;1;1;2;0
1;2001;F;54;0;0;0;0;0;1;2;1;1;3;4;3;2;7;8;4;6;9;0
1;2001;F;56;0;0;0;0;1;1;2;3;0;2;3;5;2;7;3;8;6;7;0
1;2001;F;64;0;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;1;1;0
1;2001;F;67;0;0;0;0;0;0;0;0;1;0;1;1;4;4;4;2;4;0;0
1;2001;F;71;0;0;0;0;0;0;0;2;0;1;0;3;2;1;0;2;1;3;0
1;2001;F;73;1;0;1;0;1;0;2;0;0;1;0;0;0;0;1;0;0;1;0
1;2001;F;81;0;1;0;1;0;0;0;0;0;0;0;0;0;1;2;0;0;0;0
1;2001;F;82;0;0;0;0;0;0;1;0;0;1;6;1;4;1;8;1;1;3;0
1;2001;F;90;0;0;0;0;0;0;0;0;0;0;1;0;1;2;3;6;5;6;0
1;2001;F;91;0;0;0;0;0;0;0;0;3;1;1;2;1;2;1;3;6;7;0
1;2001;F;99;0;0;0;0;2;0;0;2;4;8;3;8;7;8;15;7;8;13;0
1;2002;M;14;0;0;0;0;1;1;4;4;5;11;6;19;18;12;22;11;13;14;0
1;2002;M;15;0;0;0;1;0;1;0;0;2;3;5;4;4;3;4;8;3;3;0
1;2002;M;16;0;0;0;0;0;1;3;2;3;7;13;10;12;25;21;14;21;21;0
1;2002;M;18;0;0;0;0;0;2;0;0;2;3;4;10;16;12;26;25;16;23;0
1;2002;M;19;0;0;0;0;0;2;0;3;4;3;9;8;10;13;14;17;14;15;0
1;2002;M;22;0;0;0;0;0;0;0;1;4;3;6;5;10;10;8;9;2;8;0
1;2002;M;23;0;0;0;0;0;0;0;1;0;1;0;1;1;0;2;5;2;3;0
1;2002;M;25;0;0;0;0;0;0;0;1;1;1;4;2;2;1;4;1;3;3;0
1;2002;M;32;0;0;0;0;1;1;4;8;12;8;8;27;20;25;25;28;24;28;0
1;2002;M;34;0;0;0;0;0;0;0;2;9;15;18;32;48;52;87;78;65;80;0
1;2002;M;43;0;0;0;0;0;0;0;0;1;0;0;1;3;3;0;2;2;0;0
1;2002;M;61;0;0;0;0;0;1;3;4;3;5;10;29;45;59;68;76;87;87;0
1;2002;M;62;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0
1;2002;M;64;0;0;0;0;0;0;0;0;2;0;1;1;0;2;4;0;3;1;0
1;2002;M;67;0;0;0;0;0;0;4;4;6;12;15;26;29;40;40;54;36;53;0
1;2002;M;71;0;0;0;1;0;0;1;3;0;5;4;3;3;2;3;1;4;3;0
1;2002;M;73;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;2002;M;81;0;0;0;0;0;0;1;1;0;0;0;0;0;1;0;1;0;0;0
1;2002;M;82;0;0;0;0;1;0;0;2;0;1;2;2;1;5;3;3;1;3;0
1;2002;M;90;0;0;0;0;0;0;0;0;1;0;2;0;2;4;3;6;5;4;0
1;2002;M;91;0;0;0;0;0;1;0;2;1;3;5;6;9;6;6;7;5;5;0
1;2002;M;99;0;0;0;0;0;0;2;2;4;3;3;7;9;13;11;7;6;12;0
1;2002;F;14;0;0;0;0;0;1;1;0;2;0;0;0;2;1;0;0;4;5;0
1;2002;F;15;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0
1;2002;F;16;0;0;0;0;0;0;0;0;3;3;7;6;8;5;11;9;6;8;0
1;2002;F;18;0;0;0;0;0;0;1;1;0;5;8;7;8;6;11;18;10;20;0
1;2002;F;19;0;0;0;0;0;0;1;2;3;3;6;6;4;6;6;3;8;9;0
1;2002;F;22;0;0;0;0;0;0;0;0;0;1;2;2;1;1;5;6;5;7;0
1;2002;F;23;0;0;0;0;0;0;0;0;0;0;1;1;3;2;3;10;8;11;0
1;2002;F;25;0;0;0;0;0;0;0;0;0;0;0;0;2;0;4;2;5;2;0
1;2002;F;32;0;0;0;1;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0
1;2002;F;34;0;0;0;0;0;0;0;0;1;1;1;2;1;3;0;1;2;3;0
1;2002;F;43;0;0;1;1;0;1;1;2;1;2;4;3;2;3;2;1;2;0;0
1;2002;F;50;0;4;2;2;5;16;11;15;19;18;20;18;25;31;37;32;19;27;0
1;2002;F;53;0;1;2;0;4;1;3;4;2;2;3;4;4;9;1;2;3;0;0
1;2002;F;54;0;0;0;0;1;0;0;1;3;2;7;4;9;8;9;4;5;11;0
1;2002;F;56;0;0;1;0;0;0;1;3;3;4;3;7;4;5;2;7;4;10;0
1;2002;F;64;0;0;0;0;0;0;0;0;1;1;0;2;0;1;1;3;1;1;0
1;2002;F;67;0;0;0;0;0;0;0;0;1;2;2;1;2;3;3;4;2;4;0
1;2002;F;71;0;0;0;0;0;0;0;0;0;1;1;1;3;3;2;1;2;3;0
1;2002;F;73;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;2;0;0
1;2002;F;81;0;0;0;0;0;0;1;0;2;0;0;2;0;1;0;1;0;0;0
1;2002;F;82;0;0;0;0;0;1;0;2;1;0;1;0;3;2;1;5;2;5;0
1;2002;F;90;0;0;0;0;0;0;0;0;0;0;0;4;1;3;1;4;5;7;0
1;2002;F;91;0;0;0;0;0;1;0;0;1;1;2;3;4;2;1;5;4;9;0
1;2002;F;99;0;0;0;0;2;0;3;2;4;3;5;2;3;12;8;14;9;16;0
1;2003;M;14;0;0;0;1;1;0;2;2;3;8;7;11;13;19;24;20;12;8;0
1;2003;M;15;0;0;0;0;0;0;1;1;3;4;0;4;5;8;12;6;4;2;0
1;2003;M;16;0;0;0;0;0;0;0;1;8;6;11;8;17;25;18;25;19;18;0
1;2003;M;18;0;0;0;0;0;1;1;2;3;3;1;8;17;19;28;24;18;38;0
1;2003;M;19;0;0;0;0;0;0;0;4;4;7;5;8;10;13;20;15;11;13;0
1;2003;M;22;0;0;0;0;1;0;2;5;4;2;3;5;6;11;12;11;7;11;0
1;2003;M;23;0;0;0;0;0;0;0;0;0;1;0;0;1;1;3;3;1;4;0
1;2003;M;25;0;0;0;0;0;0;0;0;0;1;2;0;1;1;5;4;4;5;0
1;2003;M;32;0;0;0;1;3;4;4;6;5;5;14;19;32;24;38;26;25;20;0
1;2003;M;34;0;0;0;0;0;1;4;3;10;15;20;28;44;53;76;78;83;66;0
1;2003;M;43;0;0;0;0;0;0;1;1;1;1;0;2;3;2;0;1;2;0;0
1;2003;M;61;0;0;0;0;0;0;2;7;5;10;15;35;38;56;77;89;77;102;0
1;2003;M;62;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
1;2003;M;64;0;0;0;0;0;0;1;1;3;2;3;2;0;3;1;2;5;2;0
1;2003;M;67;0;0;0;0;0;1;1;5;10;12;13;28;31;37;50;56;36;65;0
1;2003;M;71;0;0;0;0;1;1;1;1;1;5;0;3;5;5;4;2;5;7;0
1;2003;M;73;0;0;0;0;0;0;0;0;1;0;0;2;1;0;0;0;0;0;0
1;2003;M;81;0;0;0;0;1;0;0;0;1;0;0;0;0;1;0;1;0;1;0
1;2003;M;82;0;0;0;0;0;1;0;0;2;1;2;4;1;6;9;6;2;1;0
1;2003;M;90;0;0;0;0;0;0;0;0;0;1;2;3;2;2;2;3;4;2;0
1;2003;M;91;0;0;0;0;0;0;0;3;2;5;3;3;5;17;10;7;10;6;0
1;2003;M;99;0;0;0;0;0;0;1;1;3;1;3;7;7;11;11;17;5;13;0
1;2003;F;14;0;0;0;0;0;0;0;0;0;0;1;0;2;0;4;1;2;1;0
1;2003;F;15;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0
1;2003;F;16;0;0;0;0;0;0;0;1;3;3;2;2;5;8;12;9;9;13;0
1;2003;F;18;0;0;0;0;0;0;0;1;2;3;5;9;7;13;10;18;24;24;0
1;2003;F;19;0;0;0;0;1;0;0;1;3;2;2;3;3;8;5;10;4;8;0
1;2003;F;22;0;0;0;0;0;0;0;1;0;0;3;1;2;4;4;8;5;12;0
1;2003;F;23;0;0;0;0;0;0;0;0;0;0;1;2;7;3;6;5;9;11;0
1;2003;F;25;0;0;0;0;0;0;0;0;0;1;1;4;2;3;3;4;3;8;0
1;2003;F;32;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;3;0
1;2003;F;34;0;0;0;0;0;0;0;1;0;1;0;1;1;3;2;2;1;3;0
1;2003;F;43;0;1;0;0;2;0;0;3;3;2;1;1;2;3;3;2;4;1;0
1;2003;F;50;0;3;2;4;2;5;6;8;17;22;30;19;21;37;41;29;25;33;0
1;2003;F;53;0;0;1;3;1;3;0;4;1;4;3;4;3;0;0;2;1;0;0
1;2003;F;54;0;0;0;2;0;1;1;3;2;3;5;8;5;4;6;6;5;9;0
1;2003;F;56;0;0;0;0;0;0;1;3;1;2;2;1;8;5;4;3;4;3;0
1;2003;F;64;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0
1;2003;F;67;0;0;0;0;0;0;0;0;0;3;1;0;4;0;4;3;4;4;0
1;2003;F;71;0;0;0;0;0;0;0;0;1;3;1;0;2;1;2;1;2;2;0
1;2003;F;73;0;0;0;0;1;1;1;0;2;2;0;3;0;1;1;1;2;1;0
1;2003;F;81;0;0;0;2;0;0;0;0;1;0;0;1;0;1;1;0;1;0;0
1;2003;F;82;0;0;0;0;0;0;0;1;0;1;1;3;2;4;1;4;4;0;0
1;2003;F;90;0;0;0;0;0;0;0;0;0;0;0;2;2;2;4;4;5;7;0
1;2003;F;91;0;0;0;0;0;0;0;0;1;1;1;3;3;7;0;4;4;5;0
1;2003;F;99;0;0;0;0;0;0;1;5;2;2;2;7;9;4;15;17;12;13;0
1;2004;M;14;0;0;0;0;0;2;2;7;7;10;12;11;14;11;26;13;11;16;0
1;2004;M;15;0;0;0;0;0;0;0;0;0;3;3;1;8;4;4;8;5;6;0
1;2004;M;16;0;0;0;1;0;0;2;0;3;4;7;11;22;18;31;23;27;28;0
1;2004;M;18;0;0;0;0;1;0;0;0;2;6;5;8;17;19;20;29;25;25;0
1;2004;M;19;0;0;0;0;0;1;3;2;3;2;2;5;14;10;13;15;7;16;0
1;2004;M;22;0;0;0;0;0;0;0;2;2;1;5;7;5;7;12;6;7;7;0
1;2004;M;23;0;0;0;0;0;0;0;0;0;0;0;1;1;1;2;1;1;2;0
1;2004;M;25;0;0;0;0;0;0;0;0;1;0;0;1;2;2;6;4;6;4;0
1;2004;M;32;0;0;1;0;1;5;5;7;10;16;10;17;26;27;30;27;22;16;0
1;2004;M;34;0;0;0;0;1;0;1;3;10;11;26;37;39;59;71;79;68;86;0
1;2004;M;43;0;0;0;0;0;2;0;0;0;2;1;2;1;0;1;4;2;3;0
1;2004;M;61;0;0;0;0;0;0;3;5;7;7;22;27;46;72;57;81;75;89;0
1;2004;M;62;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;1;0;0;0
1;2004;M;64;0;0;0;0;0;1;0;0;1;2;4;0;1;2;2;4;1;3;0
1;2004;M;67;0;0;0;0;0;1;2;4;7;10;18;19;27;35;46;45;49;51;0
1;2004;M;71;0;0;0;0;0;1;0;4;1;3;2;4;3;6;6;4;6;5;0
1;2004;M;73;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0
1;2004;M;81;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;2;0;0
1;2004;M;82;0;0;0;1;0;1;2;0;0;2;1;3;1;1;6;5;5;4;0
1;2004;M;90;0;0;0;0;0;0;0;0;2;2;1;2;4;2;4;3;4;2;0
1;2004;M;91;0;0;0;0;0;0;2;0;1;2;6;2;4;8;8;15;10;14;0
1;2004;M;99;0;0;0;0;0;0;1;2;4;6;7;3;4;2;12;9;14;10;0
1;2004;F;14;0;0;0;0;0;1;1;0;1;0;1;1;1;0;1;1;0;5;0
1;2004;F;15;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0
1;2004;F;16;0;0;0;0;0;1;1;1;1;1;3;4;4;6;5;8;13;13;0
1;2004;F;18;0;0;0;0;0;0;2;0;1;4;2;10;4;11;14;11;15;25;0
1;2004;F;19;0;0;0;0;1;0;1;1;1;4;6;1;9;5;11;10;9;11;0
1;2004;F;22;0;0;0;0;0;0;0;1;0;2;1;2;1;2;2;6;5;8;0
1;2004;F;23;0;0;0;0;0;0;0;0;1;0;0;2;3;5;5;7;6;10;0
1;2004;F;25;0;0;0;0;0;0;0;0;1;0;0;2;4;4;2;5;5;8;0
1;2004;F;32;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0
1;2004;F;34;0;0;0;0;0;0;0;0;0;1;0;0;1;0;1;2;4;2;0
1;2004;F;43;0;0;1;1;0;3;1;4;1;0;1;4;1;0;3;1;0;3;0
1;2004;F;50;0;1;5;4;7;11;12;20;17;26;24;26;18;23;37;27;28;33;0
1;2004;F;53;0;1;2;2;0;2;0;2;1;2;0;2;2;1;2;2;2;4;0
1;2004;F;54;0;0;0;0;0;0;0;1;3;2;3;2;4;5;8;4;5;14;0
1;2004;F;56;0;0;0;1;0;1;0;2;4;4;6;0;2;4;6;10;8;3;0
1;2004;F;64;0;0;0;0;0;0;1;0;1;2;1;1;2;3;0;2;2;3;0
1;2004;F;67;0;0;0;0;0;0;0;3;0;2;1;1;0;4;2;3;3;3;0
1;2004;F;71;0;0;0;0;1;0;0;3;0;2;2;1;0;1;3;5;0;5;0
1;2004;F;73;0;1;2;0;0;0;2;4;4;0;0;0;0;1;0;1;0;1;0
1;2004;F;81;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0
1;2004;F;82;0;0;0;0;0;0;1;3;1;1;1;1;5;3;5;2;3;4;0
1;2004;F;90;0;0;0;0;0;0;0;0;0;1;0;1;4;1;4;3;3;8;0
1;2004;F;91;0;0;0;0;0;1;1;0;0;2;3;3;1;0;5;2;3;5;0
1;2004;F;99;0;0;0;1;1;0;0;1;0;4;5;6;5;9;18;16;4;24;0
1;2005;M;14;0;0;0;0;2;2;1;4;7;7;10;7;12;17;25;20;12;22;0
1;2005;M;15;0;0;0;1;0;0;0;1;1;0;4;4;5;5;5;3;2;4;0
1;2005;M;16;0;0;0;0;0;0;1;0;3;7;9;8;16;18;24;27;25;30;0
1;2005;M;18;0;0;0;0;0;1;0;0;5;6;1;12;15;25;26;29;24;38;0
1;2005;M;19;0;0;0;0;1;0;1;0;6;4;5;9;8;11;16;20;13;15;0
1;2005;M;22;0;0;0;0;1;0;0;1;2;1;4;6;7;10;11;6;10;7;0
1;2005;M;23;0;0;0;0;0;0;1;0;0;0;1;2;0;1;1;0;2;6;0
1;2005;M;25;0;0;0;0;0;0;1;1;0;1;1;1;3;1;3;3;6;8;0
1;2005;M;32;0;0;0;0;2;1;0;6;6;5;12;17;17;33;30;20;19;16;0
1;2005;M;34;0;0;0;0;1;0;3;5;7;17;20;35;52;62;58;78;88;85;0
1;2005;M;43;0;0;0;0;2;0;2;0;2;1;1;0;3;6;2;7;2;2;0
1;2005;M;61;0;0;0;0;1;0;3;5;7;12;16;29;55;85;71;87;107;100;0
1;2005;M;62;0;0;1;0;0;0;0;1;0;0;0;1;0;1;0;0;2;1;0
1;2005;M;64;0;0;0;0;0;2;0;2;1;0;3;2;0;1;3;2;3;5;0
1;2005;M;67;0;0;0;0;0;1;2;3;6;14;17;30;36;45;58;61;51;60;0
1;2005;M;71;0;0;0;0;1;1;0;0;2;1;3;4;3;6;3;2;6;4;0
1;2005;M;73;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;1;0;0
1;2005;M;81;0;0;0;0;0;0;0;1;1;1;0;0;1;0;0;0;0;0;0
1;2005;M;82;0;0;0;0;1;2;0;2;2;1;1;2;6;3;1;1;0;4;0
1;2005;M;90;0;0;0;0;0;0;0;0;0;0;1;4;1;1;4;6;5;3;0
1;2005;M;91;0;0;0;0;1;1;0;0;0;1;0;6;10;6;10;10;11;20;0
1;2005;M;99;0;0;0;0;0;1;3;1;1;7;5;3;4;7;12;14;13;10;0
1;2005;F;14;0;0;0;0;0;0;0;0;3;0;0;3;1;2;2;0;4;4;0
1;2005;F;15;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;3;2;0;0
1;2005;F;16;0;0;0;0;0;0;0;0;4;2;2;4;5;4;4;16;5;11;0
1;2005;F;18;0;0;0;1;1;1;1;1;0;3;3;6;5;13;17;15;18;25;0
1;2005;F;19;0;0;0;1;0;1;0;2;1;3;3;5;6;3;6;9;5;11;0
1;2005;F;22;0;0;0;0;0;0;0;0;0;0;0;0;1;4;4;5;6;11;0
1;2005;F;23;0;0;0;0;0;0;0;0;0;0;0;3;3;2;3;5;8;13;0
1;2005;F;25;0;0;0;0;0;0;0;0;1;0;2;2;3;2;5;5;2;5;0
1;2005;F;32;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0
1;2005;F;34;0;0;0;0;0;2;0;0;0;3;1;0;0;1;2;2;2;4;0
1;2005;F;43;0;1;0;1;4;1;1;1;1;3;3;5;1;0;1;2;3;3;0
1;2005;F;50;0;1;2;4;11;6;12;24;14;20;30;36;32;35;36;38;16;40;0
1;2005;F;53;0;0;2;0;4;1;1;0;7;2;1;4;4;2;3;3;4;2;0
1;2005;F;54;0;0;1;0;1;0;0;2;4;1;3;5;4;9;10;10;13;14;0
1;2005;F;56;0;0;1;1;1;1;3;3;3;3;3;5;7;2;5;7;3;6;0
1;2005;F;64;0;0;0;0;0;0;0;0;1;1;0;2;3;2;3;3;2;4;0
1;2005;F;67;0;0;0;0;0;0;1;1;1;1;0;1;2;6;3;5;4;5;0
1;2005;F;71;0;0;0;0;1;0;0;0;0;1;2;0;4;6;3;1;1;4;0
1;2005;F;73;0;0;1;0;0;2;2;1;0;1;1;0;1;0;1;1;1;1;0
1;2005;F;81;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
1;2005;F;82;0;0;0;0;0;0;1;2;2;0;1;1;3;2;2;2;2;3;0
1;2005;F;90;0;0;0;0;0;0;0;0;1;0;2;0;2;1;3;5;6;6;0
1;2005;F;91;0;0;0;0;0;0;1;0;1;1;3;1;4;3;1;4;3;6;0
1;2005;F;99;0;0;0;0;0;1;2;2;1;3;8;5;7;11;14;6;16;10;0
1;2006;M;14;0;0;0;0;2;2;2;5;4;12;8;9;10;17;22;16;16;20;0
1;2006;M;15;0;0;0;0;0;0;0;1;1;3;1;8;2;8;6;7;4;4;0
1;2006;M;16;0;0;0;0;0;0;1;2;3;2;5;11;17;10;21;23;34;20;0
1;2006;M;18;0;0;0;0;0;0;1;0;4;2;5;10;16;22;26;43;33;43;0
1;2006;M;19;0;0;0;0;0;1;1;4;4;3;3;11;10;19;20;18;10;16;0
1;2006;M;22;0;0;0;0;1;1;2;2;5;7;4;4;5;11;13;11;9;7;0
1;2006;M;23;0;0;0;0;0;0;0;0;0;1;1;1;0;0;1;1;3;2;0
1;2006;M;25;0;0;0;0;0;0;0;0;1;0;2;2;4;0;4;5;2;2;0
1;2006;M;32;0;0;0;3;1;4;2;9;5;18;14;19;27;25;30;34;22;38;0
1;2006;M;34;0;0;0;0;1;2;0;4;7;12;19;30;45;65;71;68;76;93;0
1;2006;M;43;0;0;0;0;1;0;2;0;1;1;0;2;3;1;0;2;1;0;0
1;2006;M;61;0;0;0;0;1;0;1;7;5;19;23;30;54;60;80;92;100;134;0
1;2006;M;62;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;1;0;0
1;2006;M;64;0;0;0;0;0;1;1;0;2;2;1;1;1;7;5;4;2;1;0
1;2006;M;67;0;0;0;0;1;0;0;6;5;6;16;26;36;38;71;52;63;69;0
1;2006;M;71;0;0;0;0;0;0;0;3;2;6;4;5;2;5;4;2;3;7;0
1;2006;M;73;0;0;0;1;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0
1;2006;M;81;0;0;0;0;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0
